content,content_clean,score,label,content_length,content_clean_length
Bhai jab sabka guard active he hota hai to Revange ka option kyu Diya hai 🥲🥲🥲 Dil Tut Gaya Bhai,bhai jab sabka guard activ hota hai revang ka option kyu diya hai dil tut gaya bhai,6,Positive,20,17
Nice game,nice game,6,Positive,2,2
I like this game because this game have war and clans,like game game war clan,4,Positive,11,5
It's good to install games.,good instal game,7,Positive,5,3
its good,good,5,Positive,2,1
It is miracle game I am happy to play this game,miracl game happi play game,4,Positive,11,5
Good job,good job,5,Positive,2,2
"Experience is good,but sometimes my townhall don't respond in attack on air troops unless they destroying it,",experi goodbut sometim townhal dont respond attack air troop unless destroy,-1,Negative,17,11
Nice game,nice game,6,Positive,2,2
This is awesome game.I playing from many years I am th 10. And I have one more account th 8 . I love this game. This is my favourite game.👍👍👍😘😘,awesom gamei play mani year th one account th love game favourit game,9,Positive,30,13
Good na Good,good na good,10,Positive,3,3
Download,download,0,Neutral,1,1
Good,good,5,Positive,1,1
Fun,fun,0,Neutral,1,1
Amazing game [never disappointed]✨ I hope they'll give me free gems for this compliment 🤣,amaz game never disappoint hope theyll give free gem compliment,5,Positive,15,10
: Clash of Clans | Supercell | : A Very-Very Nicely Game To Play It Is JAAN-JI JI.,clash clan supercel veryveri nice game play jaanji ji,6,Positive,18,9
i m haved played this game before,have play game,2,Positive,7,3
Some one tell it's very bad game but they don't have anything that they play this game so I'm say this game is very expressive to me to us and to everyone okkkkkkkkkkkkkkkkk!!!!!! Stupid people just bad people okkkkkkkkkkkkk!!!🫵,one tell bad game dont anyth play game im say game express us everyon okkkkkkkkkkkkkkkkk stupid peopl bad peopl okkkkkkkkkkkkk,-1,Negative,39,20
Aak number h game I like this game,aak number h game like game,4,Positive,8,6
Excellent game and designing,excel game design,2,Positive,4,3
I played this game and I want to thank the game creater to make the for us.,play game want thank game creater make us,8,Positive,17,8
I'm gonna say the n,im gon na say n,1,Positive,5,5
Nice App,nice app,4,Positive,2,2
Online limit low usedapp old is slow network taking change,onlin limit low usedapp old slow network take chang,1,Positive,10,9
Good idea🤧🌷,good idea,5,Positive,2,2
It's a strategic platform to play with,strateg platform play,0,Neutral,7,3
Thanks for your great game,thank great game,9,Positive,5,3
Good n challenging game,good n challeng game,7,Positive,4,4
Nice game,nice game,6,Positive,2,2
Long time ii play agian,long time ii play agian,0,Neutral,5,5
i love this game mao rato lamat,love game mao rato lamat,7,Positive,7,5
satisfied,satisfi,0,Neutral,1,1
The best game ever! ❤️🤭,best game ever,2,Positive,5,3
nice app,nice app,4,Positive,2,2
Its a good game. I've been playing it only for 3 days but its fun. I am an f2p but its fun enough. But dont expect to be at the top being an f2p. You slow down later on,good game ive play day fun fp fun enough dont expect top fp slow later,13,Positive,39,15
Because it has many advantages,mani advantag,0,Neutral,5,2
Good game for me,good game,7,Positive,4,2
Good,good,5,Positive,1,1
I am Playing this game since the year it was launched for me clash of clans is one of the most game that I enjoyed. 5 stars for this Game you deserve it supercell.,play game sinc year launch clash clan one game enjoy star game deserv supercel,9,Positive,34,14
Inshal.,inshal,0,Neutral,1,1
its just my favorite game,favorit game,2,Positive,5,2
This game is very beautiful,game beauti,2,Positive,5,2
Very nice game,nice game,6,Positive,3,2
GOOD GAME 💯,good game,7,Positive,3,2
good gam,good gam,5,Positive,2,2
Clash of Clans is a very nice game.I like it.❤️❤️❤️❤️🇧🇩🇧🇩🇧🇩🇧🇩,clash clan nice gamei like,4,Positive,10,5
"it's beautiful and fun, it relieves stress, I'm happy when I win against my opponents, especially when my village is destroyed, I take revenge.. I'm happy.",beauti fun reliev stress im happi win oppon especi villag destroy take reveng im happi,-5,Negative,26,15
noiceeee,noiceee,0,Neutral,1,1
I love this game,love game,7,Positive,4,2
Awesome as my child hood,awesom child hood,0,Neutral,5,3
good,good,5,Positive,1,1
Very good game🫡,good game,7,Positive,3,2
Umar khitab,umar khitab,0,Neutral,2,2
good,good,5,Positive,1,1
fun to play,fun play,0,Neutral,3,2
I play it more than 8 years,play year,0,Neutral,7,2
Fada,fada,0,Neutral,1,1
Awesome,awesom,0,Neutral,1,1
Nice,nice,4,Positive,1,1
ITS THE BEEEEEEEEEEEEEEEEEST!!!!!!!!!!! GAAAAAAAAAAME!!!!!!!!!!!,beeeeeeeeeeeeeeeeest gaaaaaaaaaam,0,Neutral,4,2
Please reduce the upgrade time. It takes a lot of time to upgrade the Defence,pleas reduc upgrad time take lot time upgrad defenc,-5,Negative,15,9
Clash of clans is very awesome game i liked it thanks for Clash of Clans 😙😙😙,clash clan awesom game like thank clash clan,6,Positive,16,8
Old memo,old memo,0,Neutral,2,2
First time,first time,0,Neutral,2,2
Nc game.. this game is emotion,nc game game emot,4,Positive,6,4
It's just good,good,5,Positive,3,1
My favourite game five ⭐ done,favourit game five done,2,Positive,6,4
Nothing to say its a best game in the world,noth say best game world,3,Positive,10,5
"I like coc a lot and have been playing since 2017. In one word, I like this game very much.",like coc lot play sinc one word like game much,-3,Negative,20,10
its so GOOD but please shorten the upgrade😭🙏,good pleas shorten upgrad,5,Positive,8,4
my childhood game and still my favourite i recommend this game,childhood game still favourit recommend game,4,Positive,11,6
I love this game 🥰❤️,love game,7,Positive,5,2
this is very good game,good game,7,Positive,5,2
Good time pass,good time pass,5,Positive,3,3
Nice game...,nice game,6,Positive,2,2
I love this game most i can play this game in 20 year nice game,love game play game year nice game,15,Positive,15,7
Veru nice goodd game,veru nice goodd game,6,Positive,4,4
"I just want to report a bug after the recent update, every time I click the apprentice builder from my town hall, it keeps closing the game. I hope supercell could fix this as soon as possible, thank you",want report bug recent updat everi time click apprentic builder town hall keep close game hope supercel could fix soon possibl thank,4,Positive,39,22
Good game I would personally recommend it,good game would person recommend,7,Positive,7,5
verry good game,verri good game,7,Positive,3,3
love this.game,love thisgam,5,Positive,2,2
the best mobile game ever,best mobil game ever,3,Positive,5,4
Good and enjoy,good enjoy,8,Positive,3,2
It's a good game but speed up the angrayd times,good game speed angrayd time,7,Positive,10,5
This game was so god And i th 11,game god th,2,Positive,9,3
Good,good,5,Positive,1,1
Very nice game 🎯 🤠,nice game,6,Positive,5,2
Nice game,nice game,6,Positive,2,2
Thanks you,thank,4,Positive,2,1
holy gold its soo excitement.,holi gold soo excit,0,Neutral,5,4
Best game in the world 🌍,best game world,2,Positive,6,3
Ok,ok,4,Positive,1,1
This is soo good game,soo good game,7,Positive,5,3
Good gameeeee,good gameeee,5,Positive,2,2
I just love this games,love game,7,Positive,5,2
This was amazing 😍 Lovely game and inspiring,amaz love game inspir,7,Positive,8,4
Best deffenciv game i ever played in my live,best deffenciv game ever play live,5,Positive,9,6
"Clash of Clans, one of the best in human current situation....",clash clan one best human current situat,0,Neutral,11,7
Good game,good game,7,Positive,2,2
It is so good game Thanks for loading this game,good game thank load game,13,Positive,10,5
Bekar hai bhaiya me to toot gaya,bekar hai bhaiya toot gaya,3,Positive,7,5
Old memories,old memori,0,Neutral,2,2
Best game,best game,2,Positive,2,2
This game is very bad and I will see I will see to shop Bagal Mein ring Nahin Hai please improve this from my play ID deep,game bad see see shop bagal mein ring nahin hai pleas improv play id deep,-2,Negative,27,15
Wonderful game,wonder game,2,Positive,2,2
Ok,ok,4,Positive,1,1
Excellent game!,excel game,2,Positive,2,2
Great fun game,great fun game,5,Positive,3,3
Don't have much to say but I love the features of this game clash of clans,dont much say love featur game clash clan,8,Positive,16,8
Good,good,5,Positive,1,1
Wow,wow,0,Neutral,1,1
good,good,5,Positive,1,1
Out of this universe 🤩👍,univers,0,Neutral,5,1
Rayan BOUATiA,rayan bouatia,0,Neutral,2,2
This a very good game but to train troops it getting late . And someone attack us the medals are going so much 😡,good game train troop get late someon attack us medal go much,7,Positive,24,12
spr game,spr game,2,Positive,2,2
good. 💖💖💖💖💖,good,5,Positive,2,1
It's a good game I love this game,good game love game,14,Positive,8,4
"Its a great game, honestly, It gives good experience, and a lot of things to do so you will never get bored.",great game honestli give good experi lot thing never get bore,5,Positive,22,11
Good!thanks,goodthank,0,Neutral,1,1
Gray Tigerman jr.,gray tigerman jr,0,Neutral,3,3
because is so good,good,5,Positive,4,1
Enjoyable GAME :),enjoy game,5,Positive,3,2
❤️nice game,nice game,6,Positive,2,2
Bahut achcha game,bahut achcha game,2,Positive,3,3
The best game ever,best game ever,2,Positive,4,3
"I LOVE this game. I've played it since I was a kid. My clan means a lot to me, and I've gotten closer to my dad in the process. Lovely game!",love game ive play sinc kid clan mean lot ive gotten closer dad process love game,9,Positive,31,16
নাইস গেইম।,নইস গইম,0,Neutral,2,2
Nice,nice,4,Positive,1,1
ហ្គេមនេះល្អលេង ខ្ញុំចូលចិត្តវា,ហគមនលអលង ខញចលចតតវ,0,Neutral,2,2
Love this game ❤️,love game,7,Positive,4,2
Is game so good,game good,7,Positive,4,2
Bohot bdia,bohot bdia,0,Neutral,2,2
Better than Clash Royale.,better clash royal,2,Positive,4,3
Wow,wow,0,Neutral,1,1
I play coc game for 9 years old,play coc game year old,2,Positive,8,5
Good,good,5,Positive,1,1
Clash of clans 😃🤑,clash clan,0,Neutral,4,2
Not Good game but 😎😎😎,good game,7,Positive,5,2
Best game very painful funny pacenci,best game pain funni pacenc,2,Positive,6,5
This is good game I really enjoyed it,good game realli enjoy,10,Positive,8,4
Nice game,nice game,6,Positive,2,2
Scammer took my coc I'd can u delete it plzz,scammer took coc id u delet plzz,0,Neutral,10,7
good,good,5,Positive,1,1
Mind-blowing this game,mindblow game,2,Positive,3,2
I have been plying this game for the last 8 years. It was my emotion. Though you support LGBTQ so i have to leave this game. Supercell will lose atleast their 40-50% old users,pli game last year emot though support lgbtq leav game supercel lose atleast old user,8,Positive,34,15
Promoting LGBTQ,promot lgbtq,0,Neutral,2,2
Very good 😊👍😊👍😊👍👏😑😎😐,good,5,Positive,3,1
Nice,nice,4,Positive,1,1
I'm always getting connection lost whenever I going to attack do something about it I already checked my internet connection and i already uninstalled game and reinstalled still that bug remain same do something please 🥺,im alway get connect lost whenev go attack someth alreadi check internet connect alreadi uninstal game reinstal still bug remain someth pleas,0,Neutral,36,22
Nice,nice,4,Positive,1,1
It's the best game but the upgragrades is too long to wait but the game is cool!!!!!!,best game upgragrad long wait game cool,6,Positive,17,7
Good game,good game,7,Positive,2,2
"The game is not for free to play, if you want to compete get ready to spend good money.",game free play want compet get readi spend good money,10,Positive,19,10
Readly bad server. Every time in middle of war game crashes.,readli bad server everi time middl war game crash,-6,Negative,11,9
THIS IS A GOOD APP THAN MOBILE LEGEND COC IS GOOD I SUPER DUPER LIKE IT,good app mobil legend coc good super duper like,14,Positive,16,9
So good,good,5,Positive,2,1
"THIS GAME WAS AMAZING, YOU SHOULD ALSO TRY BUT THE PROBLEM IS THIS GAME NEED YOUR FULL LIFE BECOZ THIS GAME HAS NEVER END The more you guys play, the more gold and elixir you need. Also games and a new town hall come every year.",game amaz also tri problem game need full life becoz game never end guy play gold elixir need also game new town hall come everi year,2,Positive,46,26
Good,good,5,Positive,1,1
My favourite game but they just gave a Post about LGBTQ and this is a Deisorder I don't wanna see any one be Gay or Lesbian But this game Supports it So thats a Bad review about your Admin or Your decesion But your game is good as Hell Remove this thing,favourit game gave post lgbtq deisord dont wan na see one gay lesbian game support that bad review admin deces game good hell remov thing,7,Positive,52,25
Good for a long wait journey,good long wait journey,5,Positive,6,4
"good, but not very good",good good,10,Positive,5,2
To get rid of the annoying ad,get rid annoy ad,0,Neutral,7,4
Good,good,5,Positive,1,1
Good,good,5,Positive,1,1
War lugik time 123 day chining,war lugik time day chine,0,Neutral,6,5
Cool,cool,2,Positive,1,1
I'll give it negative star but 1 is the lowest. thanks for accompanying me in my childhood. but why would you even participate in gayness of lgbt community,ill give neg star lowest thank accompani childhood would even particip gay lgbt commun,4,Positive,28,14
Verry good,verri good,5,Positive,2,2
Looser,looser,0,Neutral,1,1
Good game,good game,7,Positive,2,2
Support Lgbtqrstuvwxyz...so i give u one star,support lgbtqrstuvwxyzso give u one star,4,Positive,7,6
Good bice,good bice,5,Positive,2,2
Best game,best game,2,Positive,2,2
It is a good game,good game,7,Positive,5,2
"Absolutely amazing game. From last 10 years I am playing this game and after each upgrade, I feel strategy is changed. One of the best hand of my life which I found so addictive.",absolut amaz game last year play game upgrad feel strategi chang one best hand life found addict,-1,Negative,34,17
"damn man, I am playing this game for like 7.5 years and it never disappoints.",damn man play game like year never disappoint,1,Positive,15,8
Omg greatest game ever iv spent like 10 thousand hours on it it's amazing and addictive,omg greatest game ever iv spent like thousand hour amaz addict,-1,Negative,16,11
This game very fantastic amazing am interesting this game,game fantast amaz interest game,4,Positive,9,5
I was with you till 2015 and you betrayed me...you are supporting #LGBT Shame on you,till betray meyou support shame,4,Positive,16,5
I LOVE THIS GAME!!!!!,love game,7,Positive,4,2
Love the the skins like it's amazing cause no ads inside of me is woah 🤯 it blew my mind also the updates. Chef kiss man all your games are fascinating and interesting 👍 I love that you could also attack other people. Also you could be in a clan fight with your friends and more .🥳🤩And lastly sailing to another island and flying is like 10/10 keep it up supercell love your work👍,love skin like amaz caus ad insid woah blew mind also updat chef kiss man game fascin interest love could also attack peopl also could clan fight friend lastli sail anoth island fli like keep supercel love work,16,Positive,74,38
Good bye clash of clans🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,good bye clash clan,2,Positive,5,4
Nice,nice,4,Positive,1,1
Kind of hard but the game makes more realistic like attacking and joining clans i guess it really deserves 5 star rates,kind hard game make realist like attack join clan guess realli deserv star rate,3,Positive,22,14
Absolutely 0 star for 🌈,absolut star,0,Neutral,5,2
Keeps crashing when I play ranked and other modes now am suspended from rank cuase of this 😡💢😡💢😡💢😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡💢💢💢💢💢💢💢💢💢💢😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢😡😡😡😡😡😡😡😡💢💢💢💢💢😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢😡😡😡😡😡😡😡😡😡😡😡💢💢💢💢💢💢😡😡😡😡😡😡😡😡😡💢💢💢💢😡😡💢😡😡😡💢💢💢💢💢💢💢💢💢💢💢😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,keep crash play rank mode suspend rank cuas,-7,Negative,18,8
It is a great game.,great game,5,Positive,5,2
This game is nice and for patience but that post that you sent on Facebook made most of the players leave the game and I saw that... that would be your biggest mistake.,game nice patienc post sent facebook made player leav game saw would biggest mistak,8,Positive,33,14
wow,wow,0,Neutral,1,1
its good one🫚,good one,5,Positive,3,2
Its just good you know build your own make friends and be mad at your teamates when they want to join the clan wars and didnt atack,good know build make friend mad teamat want join clan war didnt atack,6,Positive,27,13
Because very challenging this game and the Challenging games is my favorite,challeng game challeng game favorit,4,Positive,12,5
Awesome game,awesom game,2,Positive,2,2
"Very good and time consuming game, ypu need a lot of patience for this game but uts still amazing to play with friends and to make new friends online with new things everytime",good time consum game ypu need lot patienc game ut still amaz play friend make new friend onlin new thing everytim,4,Positive,33,21
Do you wanna fight coc developer? What do you think of yourself? i have good internet connection and I was in the builder base match and it's says unable to connect to internet and the opponent took 200% and i am able to take only 0% ? last few months you guys are busy doing maintenance right? Where is the maintenance can't even optimise the game as well. Really piss me off that's why foreign app developer really sucks,wan na fight coc develop think good internet connect builder base match say unabl connect internet oppon took abl take last month guy busi mainten right mainten cant even optimis game well realli piss that foreign app develop realli suck,4,Positive,79,40
Fun for all levels. Plays like a crazy game of chess but with some luck.,fun level play like crazi game chess luck,6,Positive,15,8
لانكم تدعمون المثليين 🌈,لانكم تدعمون المثليين,0,Neutral,4,3
I sold my grandma's pet wombat for gems on clash,sold grandma pet wombat gem clash,0,Neutral,10,6
Worst game as some player get special treatment by super cell and don't post fake reviews as most of them are same,worst game player get special treatment super cell dont post fake review,9,Positive,22,12
The game is so fun to play,game fun play,2,Positive,7,3
"I've been playing the game for nearly 7 years, and now I'm going to leave it and delete it forever 🤚🔻 LGBTQ😡",ive play game nearli year im go leav delet forev lgbtq,2,Positive,22,11
Enjoy playing,enjoy play,3,Positive,2,2
I enjoy this game so much,enjoy game much,5,Positive,6,3
I love this game,love game,7,Positive,4,2
"Awesome game, one of the best all time mobile strategy games",awesom game one best time mobil strategi game,5,Positive,11,8
Amazed,amaz,0,Neutral,1,1
it is a great game. i like it a lot Been playing this game for a long time now. With multiple accounts.,great game like lot play game long time multipl account,2,Positive,22,10
Been a fan of this game for a long time now its a great game to play good meditation cause it's a mind game love it🙏,fan game long time great game play good medit caus mind game love,19,Positive,26,13
تدعم للمثليه الشذوذ سى جدا,تدعم للمثليه الشذوذ سى جدا,0,Neutral,5,5
Great game!,great game,5,Positive,2,2
Still fun,still fun,0,Neutral,2,2
Really good game.,realli good game,7,Positive,3,3
This game is pay pay pay to win,game pay pay pay win,2,Positive,8,5
good game,good game,7,Positive,2,2
Childhood best game i played ever ❤️Nice..game...I.loved..so..much🥺,childhood best game play ever nicegameilovedsomuch,2,Positive,7,6
My opinion is the game is the best,opinion game best,2,Positive,8,3
it's ok,ok,4,Positive,2,1
"Awesome, lots of love goes into the game",awesom lot love goe game,2,Positive,8,5
I give this app 2 Star Duo to it's poor help and support,give app star duo poor help support,2,Positive,13,7
Very entertaining,entertain,0,Neutral,2,1
Awesome,awesom,0,Neutral,1,1
Impersive,impers,0,Neutral,1,1
I get free reward for this,get free reward,3,Positive,6,3
You promoted lgbta...It's not good for you and us...good bye Super cell,promot lgbtait good usgood bye super cell,5,Positive,12,7
I really love these game. It's really good.,realli love game realli good,12,Positive,8,5
just amazing,amaz,0,Neutral,2,1
Giving it a 5 cause used the kitty meme 🗿😭😹 admin at its peak 🗣🤌,give caus use kitti meme admin peak,0,Neutral,15,7
From 2013-2024 it was a nice journey good bye Chief,nice journey good bye chief,6,Positive,10,5
Donation give but not recieved and network issue,donat give reciev network issu,0,Neutral,8,5
This game fire🔥,game fire,2,Positive,3,2
Exelente!!!!,exelent,0,Neutral,1,1
"Love the graphics. And it does free to play with transactions perfectly. If you want to pay money sure, but there are a lot of ways to get free gems",love graphic free play transact perfectli want pay money sure lot way get free gem,6,Positive,30,15
Do not support everything that is harmful for mankind 🤧,support everyth harm mankind,4,Positive,10,4
কি সুন্দর গেম,ক সনদর গম,0,Neutral,3,3
Thanks for 7 years,thank year,4,Positive,4,2
It's good,good,5,Positive,2,1
"as a Muslim, i immediately stopped playing coc after knowing they openly support LGBTQ.",muslim immedi stop play coc know openli support lgbtq,10,Positive,14,9
Imagine being gay 🤧,imagin gay,0,Neutral,4,2
Good,good,5,Positive,1,1
Good,good,5,Positive,1,1
Love it..,love,5,Positive,2,1
Best game ever Hogriiiiiiidaaaaaaa,best game ever hogriiiiiiidaaaaaaa,2,Positive,4,4
I liked this game،and just,like gameand,0,Neutral,5,2
"Good og game 👍(""0-0"")👍",good og game,7,Positive,4,3
"Wasnt able to receive verification email for brawl stars so this stupid company decided it was best to change my email address. After changing my email address, my account for clash of clans and clash royale was deleted. Game sucks.",wasnt abl receiv verif email brawl star stupid compani decid best chang email address chang email address account clash clan clash royal delet game suck,2,Positive,40,25
Nice game,nice game,6,Positive,2,2
Good app,good app,5,Positive,2,2
I've played this game so many times. But still enjoying it like its my 1st time playing it. Join and see for yourself.,ive play game mani time still enjoy like st time play join see,6,Positive,23,13
Don:t download This game Because It's Supporting Filth,dont download game support filth,6,Positive,8,5
Why partner w/GHays though,partner wghay though,0,Neutral,4,3
Nice game,nice game,6,Positive,2,2
its amazing 🤩🤩🤩🤩🤩,amaz,0,Neutral,3,1
good,good,5,Positive,1,1
Great,great,3,Positive,1,1
Good,good,5,Positive,1,1
Great to play,great play,3,Positive,3,2
Mind blowing...,mind blow,0,Neutral,2,2
"Pass for this, pass for that. Give us money.",pass pass give us money,0,Neutral,9,5
Nice game relaxing progression and satisfying strategy,nice game relax progress satisfi strategi,6,Positive,7,6
Great fun game,great fun game,5,Positive,3,3
To be honest this is like the 10th time downloading this game💀🧡,honest like th time download game,2,Positive,12,6
my game is crash in attack every time 😔,game crash attack everi time,-2,Negative,9,5
Good,good,5,Positive,1,1
I am happy to play,happi play,0,Neutral,5,2
It's really a good app I can't tell by words such a beautiful game hands of u all for creating this game 🥰🥰💗💗💓💓💞💕,realli good app cant tell word beauti game hand u creat game,9,Positive,23,12
Aliwye,aliwy,0,Neutral,1,1
Great game a clasic,great game clasic,5,Positive,4,3
Great game you can play without spending money. I like that as things take longer to upgrade they encourage you to put the phone down and check in less often.,great game play without spend money like thing take longer upgrad encourag put phone check less often,6,Positive,30,17
It is a really good game to play,realli good game play,7,Positive,8,4
I have been playing Coc since 2016 (additive) and still I feel like I wanna play more,play coc sinc addit still feel like wan na play,-4,Negative,17,10
After 10 years. Iam quitting. Supercell. Dissapointed. You guys ruin our future lgbtq is not accepted,year iam quit supercel dissapoint guy ruin futur lgbtq accept,0,Neutral,16,10
Nice,nice,4,Positive,1,1
Boycot COC. They Promote Lgbet,boycot coc promot lgbet,0,Neutral,5,4
This game was an Emotion and my very first multiplayer game but Alas! They support LGBTQ so It's time to be Apart. hope supercell Will not be recognised So long.,game emot first multiplay game ala support lgbtq time apart hope supercel recognis long,8,Positive,30,14
The best game ever,best game ever,2,Positive,4,3
See u in the group of Qwam e lut.🌋,see u group qwam e lut,0,Neutral,9,6
Best,best,0,Neutral,1,1
Wrist service my account hacked some one no any customer support please help coc teem,wrist servic account hack one custom support pleas help coc teem,2,Positive,15,11
Aro balo korte hobe,aro balo kort hobe,0,Neutral,4,4
nice game,nice game,6,Positive,2,2
Cool,cool,2,Positive,1,1
Good,good,5,Positive,1,1
Amazing game great to play with friends,amaz game great play friend,5,Positive,7,5
Eh,eh,0,Neutral,1,1
Network issue always comes. When my mobile speed is 110 mps but when I was playing gane network issue comes,network issu alway come mobil speed mp play gane network issu come,1,Positive,20,12
this app is and where we have trouble to say me means I will install and open trying to open this app and this app is can't opening because I give you one star on you editor developers I download 3 4 times and it cant loading game because I deleting the app and I give the subject of me because anyone can download this app now I can't download this app because for front loading I hate this app forever and ever and ever,app troubl say mean instal open tri open app app cant open give one star editor develop download time cant load game delet app give subject anyon download app cant download app front load hate app forev ever ever,-11,Negative,85,39
Game was good but because of global is removed from the game it's become much boring,game good global remov game becom much bore,9,Positive,16,8
Good,good,5,Positive,1,1
Best,best,0,Neutral,1,1
Nice,nice,4,Positive,1,1
Good game but can you add converter to gold to gems or elixir to gems but it is good game,good game add convert gold gem elixir gem good game,14,Positive,20,10
If you want play strategy game you should play this game!,want play strategi game play game,4,Positive,11,6
good,good,5,Positive,1,1
Awesome strategy game,awesom strategi game,2,Positive,3,3
Guy game,guy game,2,Positive,2,2
Old is gold,old gold,0,Neutral,3,2
"This game is amazing and also the game of strategy. This will train your mind. But there is 4star the 1 star is deducted because of the training of troops and this will take very time. And upgrades are also take very time consuming. Anyways the game is amazing, supercell please give me 1000 gems. Thank you",game amaz also game strategi train mind star star deduct train troop take time upgrad also take time consum anyway game amaz supercel pleas give gem thank,10,Positive,57,27
Good,good,5,Positive,1,1
